budget_tier,cost_function,recipe_regime,opt_Q,q_regime,opt_Loss
low,exp,Fixed_p0,0.6907,Interior,3.2105
low,exp,Fixed_p_opt,0.7261,Interior,3.1736
low,pow,Fixed_p0,0.584,Boundary_Lower_Q0,3.2133
low,pow,Fixed_p_opt,0.584,Boundary_Lower_Q0,3.1798
low,log,Fixed_p0,1.0,Boundary_Upper_Q1,3.0967
low,log,Fixed_p_opt,1.0,Boundary_Upper_Q1,3.0609
mid,exp,Fixed_p0,1.0,Boundary_Upper_Q1,2.1506
mid,exp,Fixed_p_opt,1.0,Boundary_Upper_Q1,2.14
mid,pow,Fixed_p0,1.0,Boundary_Upper_Q1,2.1519
mid,pow,Fixed_p_opt,1.0,Boundary_Upper_Q1,2.1412
mid,log,Fixed_p0,1.0,Boundary_Upper_Q1,2.1452
mid,log,Fixed_p_opt,1.0,Boundary_Upper_Q1,2.135
high,exp,Fixed_p0,1.0,Boundary_Upper_Q1,1.9139
high,exp,Fixed_p_opt,1.0,Boundary_Upper_Q1,1.9089
high,pow,Fixed_p0,1.0,Boundary_Upper_Q1,1.9139
high,pow,Fixed_p_opt,1.0,Boundary_Upper_Q1,1.909
high,log,Fixed_p0,1.0,Boundary_Upper_Q1,1.9135
high,log,Fixed_p_opt,1.0,Boundary_Upper_Q1,1.9086
