,arxiv,freelaw,pubmed_central,wikipedia_en,dm_mathematics,github,stackexchange,gutenberg_pg_19,pile_cc,ubuntu_irc,hackernews,pubmed_abstracts,uspto_backgrounds
arxiv,0.0,0.002246165071925297,0.0013879768226838026,-0.0007239152134515417,-0.029457685844416538,0.0009040473146780293,-0.006926102369375522,0.0028644649346476394,0.0006789651604739121,-0.03619710243393198,0.010140228089749874,0.0009204572126271173,0.002240556074554848
freelaw,-0.0017565735842011002,0.0,-0.0011346463305739267,-0.003009372532711152,-0.029242268063621315,-0.0015604336804987031,-0.008463920801195648,0.00018503582421667923,-0.0017571995256687252,-0.03560986292045522,0.006977574041221974,-0.0015530143884226577,-0.00038059640568158465
pubmed_central,-0.0005308603130446892,0.00104286550589251,0.0,-0.0019420538774638488,-0.03078263919362227,-0.00030629478230121776,-0.008177151363030353,0.0016634943371125698,-0.0005326301917544212,-0.0375373918143045,0.008959583409567729,-0.0002894555348234749,0.0010370897114631546
wikipedia_en,0.0022402887721200177,0.003350787647535165,0.0027405976341098102,0.0,-0.021173521820154112,0.002397756164714488,-0.0031778330382179836,0.0038292593395998133,0.0022408341936851974,-0.026916091532432213,0.009847169734264156,0.0023950756348316343,0.003352534871752828
dm_mathematics,0.018147712867107736,0.018563105888036318,0.0183339525173828,0.017740447915373835,0.0,0.018205998310081795,0.016107028435409152,0.01877200969191882,0.018149001874531362,0.004451062362919672,0.02194932856743651,0.018195162281198062,0.018567672414095772
github,0.00029395283778999124,0.0018331549988363817,0.000989264434593962,-0.00108956862589029,-0.029481059485852647,0.0,-0.007186838719713484,0.0024439850349747792,0.0002924019765175351,-0.03617104202939306,0.0096544492086356,0.0005285521763760518,0.0018280703346823693
stackexchange,0.012327120613891551,0.013736041794783306,0.012963076474411086,0.011049107174322994,-0.0156051233661242,0.012527730099322695,0.0,0.01430881144161392,0.012326330250368308,-0.022037132529820286,0.021183785552206714,0.0125365242746932,0.013733384350266345
gutenberg_pg_19,-0.001518480476909769,-0.0007862843715785047,-0.0011894495645825259,-0.0022175686662886484,-0.018434199824853014,-0.0014152319169581707,-0.005103906512264878,0.0,-0.0015171007946535907,-0.02301227079751897,0.00423171274172437,-0.0014259348667416882,-0.0007815698916937674
pile_cc,0.0007161735254239519,0.0023538593492377882,0.001456406551190528,-0.0007459782764143193,-0.030406864041999573,0.0009500602267357236,-0.0072365005426695255,0.002992338535693678,0.0,-0.037277980401261596,0.010443720437326498,0.0009703243338682613,0.0023467518179145536
ubuntu_irc,0.019083503192488305,0.0194073349580171,0.019228591523600184,0.018763458582244243,0.01062494757536792,0.01912887369487208,0.017491090986518326,0.01957395327946185,0.019084625048003425,0.0,0.02221308919059111,0.019119274091810644,0.01941135103602706
hackernews,-0.0034377515470954737,-0.0032418296088281067,-0.003350057976228819,-0.0036336100210934237,-0.00879466780513445,-0.0034103600859407652,-0.004402503557704264,-0.0031376351783298302,-0.0034369726210013974,-0.010569125754166905,0.0,-0.003417181093622038,-0.003238999538912156
pubmed_abstracts,0.00020031465697376667,0.001195462962192459,0.0006483145153832839,-0.00073034010598998,-0.021336142319534547,0.00034119201669187535,-0.004660294071553279,0.0016344992321144522,0.00020121909080625654,-0.026765338783739143,0.007279621829077826,0.0,0.001198444972800636
uspto_backgrounds,-0.00142700725830805,-0.0003102974442637694,-0.0009238798641807962,-0.0024617588120944764,-0.024939638907542295,-0.0012686451987938639,-0.006875116427336162,0.00017024728650579727,-0.0014264837055144785,-0.030698236501287703,0.006207486937914349,-0.0012711303981070364,0.0
