domain_1,domain_2,hessian_curvature_H_R,relationship
stackexchange,pile_cc,-8.9955,Complementary (Synergy)
arxiv,uspto_backgrounds,-6.5963,Complementary (Synergy)
ubuntu_irc,uspto_backgrounds,-5.3402,Complementary (Synergy)
nih_exporter,uspto_backgrounds,-5.2306,Complementary (Synergy)
hackernews,uspto_backgrounds,-5.2228,Complementary (Synergy)
pubmed_abstracts,uspto_backgrounds,-5.1928,Complementary (Synergy)
freelaw,uspto_backgrounds,-5.1928,Complementary (Synergy)
wikipedia_en,uspto_backgrounds,-5.1927,Complementary (Synergy)
stackexchange,uspto_backgrounds,-5.1917,Complementary (Synergy)
pubmed_central,uspto_backgrounds,-5.1904,Complementary (Synergy)
philpapers,uspto_backgrounds,-5.189,Complementary (Synergy)
gutenberg_pg_19,uspto_backgrounds,-5.1887,Complementary (Synergy)
dm_mathematics,uspto_backgrounds,-5.1825,Complementary (Synergy)
github,uspto_backgrounds,-5.1329,Complementary (Synergy)
enron_emails,uspto_backgrounds,-5.0921,Complementary (Synergy)
github,europarl,-3.6271,Complementary (Synergy)
pile_cc,hackernews,-3.1701,Complementary (Synergy)
ubuntu_irc,hackernews,-2.9415,Complementary (Synergy)
arxiv,enron_emails,-2.941,Complementary (Synergy)
arxiv,philpapers,-2.6953,Complementary (Synergy)
nih_exporter,pile_cc,-2.2404,Complementary (Synergy)
arxiv,hackernews,-2.2022,Complementary (Synergy)
philpapers,ubuntu_irc,-1.9937,Complementary (Synergy)
pubmed_central,europarl,-1.6401,Complementary (Synergy)
arxiv,ubuntu_irc,-1.5446,Complementary (Synergy)
europarl,uspto_backgrounds,-1.5385,Complementary (Synergy)
pubmed_central,enron_emails,-1.5273,Complementary (Synergy)
arxiv,dm_mathematics,-1.5225,Complementary (Synergy)
arxiv,github,-1.4724,Complementary (Synergy)
arxiv,stackexchange,-1.4244,Complementary (Synergy)
arxiv,wikipedia_en,-1.4127,Complementary (Synergy)
arxiv,freelaw,-1.4125,Complementary (Synergy)
arxiv,pubmed_abstracts,-1.4125,Complementary (Synergy)
arxiv,gutenberg_pg_19,-1.4119,Complementary (Synergy)
arxiv,pubmed_central,-1.4114,Complementary (Synergy)
arxiv,nih_exporter,-1.4102,Complementary (Synergy)
arxiv,europarl,-1.4078,Complementary (Synergy)
pile_cc,ubuntu_irc,-1.3402,Complementary (Synergy)
dm_mathematics,hackernews,-1.0309,Complementary (Synergy)
github,enron_emails,-0.9337,Complementary (Synergy)
wikipedia_en,pile_cc,-0.9135,Complementary (Synergy)
github,hackernews,-0.8809,Complementary (Synergy)
dm_mathematics,pile_cc,-0.7949,Complementary (Synergy)
dm_mathematics,europarl,-0.6561,Complementary (Synergy)
nih_exporter,philpapers,-0.6185,Complementary (Synergy)
philpapers,enron_emails,-0.572,Complementary (Synergy)
pile_cc,pubmed_abstracts,-0.5132,Complementary (Synergy)
pubmed_central,dm_mathematics,-0.3476,Complementary (Synergy)
github,philpapers,-0.3229,Complementary (Synergy)
dm_mathematics,philpapers,-0.2794,Complementary (Synergy)
europarl,pubmed_abstracts,-0.2442,Complementary (Synergy)
stackexchange,ubuntu_irc,-0.2086,Complementary (Synergy)
gutenberg_pg_19,pile_cc,-0.1631,Complementary (Synergy)
philpapers,pubmed_abstracts,-0.15,Complementary (Synergy)
dm_mathematics,ubuntu_irc,-0.1363,Complementary (Synergy)
gutenberg_pg_19,ubuntu_irc,-0.133,Complementary (Synergy)
wikipedia_en,ubuntu_irc,-0.1308,Complementary (Synergy)
freelaw,ubuntu_irc,-0.1296,Complementary (Synergy)
pubmed_central,ubuntu_irc,-0.1266,Complementary (Synergy)
gutenberg_pg_19,hackernews,-0.1235,Complementary (Synergy)
nih_exporter,wikipedia_en,-0.1078,Complementary (Synergy)
dm_mathematics,enron_emails,-0.1062,Complementary (Synergy)
wikipedia_en,europarl,-0.088,Complementary (Synergy)
github,ubuntu_irc,-0.0522,Complementary (Synergy)
github,stackexchange,-0.0311,Independent (Neutral)
wikipedia_en,github,-0.0253,Independent (Neutral)
pubmed_central,stackexchange,-0.0156,Independent (Neutral)
philpapers,stackexchange,-0.0045,Independent (Neutral)
wikipedia_en,hackernews,-0.0019,Independent (Neutral)
pubmed_central,gutenberg_pg_19,-0.0007,Independent (Neutral)
pubmed_central,wikipedia_en,-0.0002,Independent (Neutral)
stackexchange,pubmed_abstracts,-0.0001,Independent (Neutral)
nih_exporter,pubmed_central,-0.0001,Independent (Neutral)
freelaw,hackernews,0.0,Independent (Neutral)
freelaw,stackexchange,0.0,Independent (Neutral)
freelaw,enron_emails,0.0,Independent (Neutral)
freelaw,pubmed_abstracts,0.0,Independent (Neutral)
wikipedia_en,pubmed_abstracts,-0.0,Independent (Neutral)
dm_mathematics,pubmed_abstracts,-0.0,Independent (Neutral)
gutenberg_pg_19,pubmed_abstracts,-0.0,Independent (Neutral)
freelaw,philpapers,0.0,Independent (Neutral)
nih_exporter,pubmed_abstracts,-0.0,Independent (Neutral)
pubmed_central,pubmed_abstracts,0.0,Independent (Neutral)
freelaw,nih_exporter,0.0,Independent (Neutral)
freelaw,europarl,0.0,Independent (Neutral)
freelaw,pubmed_central,0.0,Independent (Neutral)
freelaw,wikipedia_en,0.0,Independent (Neutral)
freelaw,dm_mathematics,0.0,Independent (Neutral)
hackernews,pubmed_abstracts,0.0,Independent (Neutral)
freelaw,gutenberg_pg_19,0.0,Independent (Neutral)
pubmed_central,philpapers,0.0002,Independent (Neutral)
wikipedia_en,gutenberg_pg_19,0.0003,Independent (Neutral)
wikipedia_en,dm_mathematics,0.0006,Independent (Neutral)
dm_mathematics,gutenberg_pg_19,0.0017,Independent (Neutral)
nih_exporter,stackexchange,0.0024,Independent (Neutral)
pubmed_central,hackernews,0.0043,Independent (Neutral)
wikipedia_en,stackexchange,0.0067,Independent (Neutral)
gutenberg_pg_19,europarl,0.0077,Independent (Neutral)
stackexchange,enron_emails,0.0099,Independent (Neutral)
enron_emails,gutenberg_pg_19,0.0157,Independent (Neutral)
stackexchange,gutenberg_pg_19,0.0192,Independent (Neutral)
dm_mathematics,stackexchange,0.0376,Independent (Neutral)
wikipedia_en,enron_emails,0.0455,Independent (Neutral)
philpapers,gutenberg_pg_19,0.0513,Substitution (Competitive)
github,gutenberg_pg_19,0.0561,Substitution (Competitive)
nih_exporter,github,0.0596,Substitution (Competitive)
freelaw,github,0.0602,Substitution (Competitive)
github,pubmed_abstracts,0.0603,Substitution (Competitive)
wikipedia_en,philpapers,0.0753,Substitution (Competitive)
freelaw,pile_cc,0.0783,Substitution (Competitive)
nih_exporter,hackernews,0.1254,Substitution (Competitive)
dm_mathematics,github,0.1508,Substitution (Competitive)
stackexchange,europarl,0.1709,Substitution (Competitive)
nih_exporter,gutenberg_pg_19,0.2501,Substitution (Competitive)
enron_emails,pubmed_abstracts,0.297,Substitution (Competitive)
ubuntu_irc,pubmed_abstracts,0.4202,Substitution (Competitive)
nih_exporter,dm_mathematics,0.4395,Substitution (Competitive)
philpapers,europarl,0.5188,Substitution (Competitive)
nih_exporter,ubuntu_irc,0.61,Substitution (Competitive)
pubmed_central,github,0.6891,Substitution (Competitive)
philpapers,hackernews,0.6997,Substitution (Competitive)
enron_emails,europarl,0.889,Substitution (Competitive)
philpapers,pile_cc,1.0583,Substitution (Competitive)
pubmed_central,pile_cc,1.3172,Substitution (Competitive)
enron_emails,ubuntu_irc,1.3702,Substitution (Competitive)
github,pile_cc,2.4457,Substitution (Competitive)
nih_exporter,europarl,2.6251,Substitution (Competitive)
europarl,hackernews,2.6489,Substitution (Competitive)
pile_cc,europarl,3.182,Substitution (Competitive)
enron_emails,pile_cc,3.4066,Substitution (Competitive)
ubuntu_irc,europarl,3.7667,Substitution (Competitive)
stackexchange,hackernews,3.8318,Substitution (Competitive)
nih_exporter,enron_emails,3.8817,Substitution (Competitive)
arxiv,pile_cc,4.2833,Substitution (Competitive)
enron_emails,hackernews,4.9609,Substitution (Competitive)
pile_cc,uspto_backgrounds,8.7823,Substitution (Competitive)
