Model_N_B,Tokens_D_B,Quality_Q,MRTS_NQ,ROI_Ratio_Exp,Exp_Decision,ROI_Ratio_Power,Power_Decision,ROI_Ratio_Log,Log_Decision
0.0705,300.0,0.6,0.0518,0.1416,Stack Params,0.072,Stack Params,0.1088,Stack Params
0.0705,300.0,0.7,0.0485,0.0727,Stack Params,0.0424,Stack Params,0.1164,Stack Params
0.0705,300.0,0.75,0.0469,0.0521,Stack Params,0.0333,Stack Params,0.1196,Stack Params
0.0705,300.0,0.8,0.0454,0.0373,Stack Params,0.0266,Stack Params,0.1225,Stack Params
0.0705,300.0,0.85,0.0439,0.0268,Stack Params,0.0214,Stack Params,0.1251,Stack Params
0.0705,300.0,0.9,0.0424,0.0192,Stack Params,0.0175,Stack Params,0.1273,Stack Params
0.409,300.0,0.6,0.5464,1.4931,Buy Quality,0.7589,Stack Params,1.1475,Buy Quality
0.409,300.0,0.7,0.5113,0.7667,Stack Params,0.4472,Stack Params,1.2271,Buy Quality
0.409,300.0,0.75,0.4946,0.5494,Stack Params,0.3517,Stack Params,1.2612,Buy Quality
0.409,300.0,0.8,0.4784,0.3937,Stack Params,0.2803,Stack Params,1.2918,Buy Quality
0.409,300.0,0.85,0.4628,0.2822,Stack Params,0.2261,Stack Params,1.319,Buy Quality
0.409,300.0,0.9,0.4477,0.2022,Stack Params,0.1842,Stack Params,1.343,Buy Quality
1.0409,300.0,0.6,1.9105,5.2203,Buy Quality,2.6535,Buy Quality,4.0121,Buy Quality
1.0409,300.0,0.7,1.7877,2.6807,Buy Quality,1.5636,Buy Quality,4.2904,Buy Quality
1.0409,300.0,0.75,1.7292,1.921,Buy Quality,1.2297,Buy Quality,4.4096,Buy Quality
1.0409,300.0,0.8,1.6727,1.3766,Buy Quality,0.9801,Stack Params,4.5164,Buy Quality
1.0409,300.0,0.85,1.6181,0.9865,Stack Params,0.7904,Stack Params,4.6115,Buy Quality
1.0409,300.0,0.9,1.5652,0.7069,Stack Params,0.6441,Stack Params,4.6955,Buy Quality
6.861,300.0,0.6,23.9091,65.3286,Buy Quality,33.2071,Buy Quality,50.2091,Buy Quality
6.861,300.0,0.7,22.3718,33.5477,Buy Quality,19.5671,Buy Quality,53.6922,Buy Quality
6.861,300.0,0.75,21.6406,24.0405,Buy Quality,15.3888,Buy Quality,55.1834,Buy Quality
6.861,300.0,0.8,20.9333,17.2275,Buy Quality,12.2656,Buy Quality,56.5198,Buy Quality
6.861,300.0,0.85,20.2491,12.3453,Buy Quality,9.8917,Buy Quality,57.7099,Buy Quality
6.861,300.0,0.9,19.5872,8.8467,Buy Quality,8.0606,Buy Quality,58.7617,Buy Quality
70.0,300.0,0.6,537.294,1468.0873,Buy Quality,746.2417,Buy Quality,1128.3175,Buy Quality
70.0,300.0,0.7,502.7461,753.8967,Buy Quality,439.7196,Buy Quality,1206.5906,Buy Quality
70.0,300.0,0.75,486.3143,540.2464,Buy Quality,345.8235,Buy Quality,1240.1014,Buy Quality
70.0,300.0,0.8,470.4196,387.1434,Buy Quality,275.6365,Buy Quality,1270.1328,Buy Quality
70.0,300.0,0.85,455.0443,277.429,Buy Quality,222.2891,Buy Quality,1296.8763,Buy Quality
70.0,300.0,0.9,440.1716,198.8071,Buy Quality,181.1406,Buy Quality,1320.5149,Buy Quality
