Model_N_B,Tokens_D_B,Initial_Q,Delta_L_Quality,Downsized_N_B,Param_Saved_B,Param_Saved_Pct,Critical_N_B,Equiv_Param_N_B,Param_Gain_Required,Saturated,Theoretical_Verdict
0.0705,300.0,0.7,0.01973,0.066,0.0045,6.37,4878.8712,0.0754B,+0.0049B (+7.0%),False,Finite Replaceable
0.1624,300.0,0.7,0.01973,0.1489,0.0135,8.34,4878.8712,0.1776B,+0.0152B (+9.4%),False,Finite Replaceable
0.409,300.0,0.7,0.01973,0.3633,0.0457,11.18,4878.8712,0.4628B,+0.0538B (+13.1%),False,Finite Replaceable
1.0409,300.0,0.7,0.01973,0.8855,0.1554,14.92,4878.8712,1.2351B,+0.1942B (+18.7%),False,Finite Replaceable
1.4162,300.0,0.7,0.01973,1.1842,0.232,16.38,4878.8712,1.7135B,+0.2973B (+21.0%),False,Finite Replaceable
2.7828,300.0,0.7,0.01973,2.2256,0.5572,20.02,4878.8712,3.5440B,+0.7612B (+27.4%),False,Finite Replaceable
6.861,300.0,0.7,0.01973,5.0844,1.7766,25.89,4878.8712,9.5789B,+2.7179B (+39.6%),False,Finite Replaceable
11.9658,300.0,0.7,0.01973,8.3617,3.6041,30.12,4878.8712,17.9978B,+6.0320B (+50.4%),False,Finite Replaceable
70.0,300.0,0.7,0.01973,37.5139,32.4861,46.41,4878.8712,154.6540B,+84.6540B (+120.9%),False,Finite Replaceable
0.0705,2000.0,0.7,0.0116,0.0678,0.0027,3.81,23258.6137,0.0733B,+0.0028B (+4.0%),False,Finite Replaceable
0.1624,2000.0,0.7,0.0116,0.1542,0.0082,5.02,23258.6137,0.1711B,+0.0087B (+5.4%),False,Finite Replaceable
0.409,2000.0,0.7,0.0116,0.3812,0.0278,6.79,23258.6137,0.4395B,+0.0305B (+7.5%),False,Finite Replaceable
1.0409,2000.0,0.7,0.0116,0.9455,0.0954,9.16,23258.6137,1.1496B,+0.1087B (+10.4%),False,Finite Replaceable
1.4162,2000.0,0.7,0.0116,1.2731,0.1431,10.11,23258.6137,1.5817B,+0.1655B (+11.7%),False,Finite Replaceable
2.7828,2000.0,0.7,0.0116,2.4352,0.3476,12.49,23258.6137,3.2002B,+0.4174B (+15.0%),False,Finite Replaceable
6.861,2000.0,0.7,0.0116,5.7314,1.1296,16.46,23258.6137,8.3101B,+1.4491B (+21.1%),False,Finite Replaceable
11.9658,2000.0,0.7,0.0116,9.6413,2.3245,19.43,23258.6137,15.1073B,+3.1415B (+26.3%),False,Finite Replaceable
70.0,2000.0,0.7,0.0116,47.7457,22.2543,31.79,23258.6137,108.6812B,+38.6812B (+55.3%),False,Finite Replaceable
