budget_tier,budget_FLOPs,budget_EFLOPs,cost_function,recipe_regime,R_p_multiplier,opt_N_B,opt_N_raw,opt_D_B,opt_D_raw,opt_Q,opt_Loss,token_param_ratio,share_train_pct,share_attn_pct,share_quality_pct,share_train_plus_attn_pct,budget_residual,q_regime,kkt_n_satisfied,kkt_q_satisfied,global_de_verified
low,1.0e+19,10.0,exp,Fixed_p0,1.0,0.2021,2.02e+08,6.2755,6.28e+09,0.6907,3.2105,31.05,76.1,5.19,18.71,81.29,0.00e+00,Interior,True,True,True
low,1.0e+19,10.0,exp,Fixed_p_opt,0.9602,0.2376,2.38e+08,5.0756,5.08e+09,0.7261,3.1736,21.36,72.36,4.94,22.7,77.3,0.00e+00,Interior,True,True,True
low,1.0e+19,10.0,pow,Fixed_p0,1.0,0.1417,1.42e+08,11.0097,1.10e+10,0.584,3.2133,77.69,93.61,6.39,0.0,100.0,0.00e+00,Boundary_Lower_Q0,True,True,True
low,1.0e+19,10.0,pow,Fixed_p_opt,0.9602,0.1513,1.51e+08,10.3115,1.03e+10,0.584,3.1798,68.15,93.61,6.39,0.0,100.0,0.00e+00,Boundary_Lower_Q0,True,True,True
low,1.0e+19,10.0,log,Fixed_p0,1.0,0.3378,3.38e+08,3.2099,3.21e+09,1.0,3.0967,9.5,65.06,4.44,30.5,69.5,1.78e-16,Boundary_Upper_Q1,True,True,True
low,1.0e+19,10.0,log,Fixed_p_opt,0.9602,0.3546,3.55e+08,3.1026,3.10e+09,1.0,3.0609,8.75,66.01,4.51,29.48,70.52,1.78e-16,Boundary_Upper_Q1,True,True,True
mid,1.0e+22,10000.0,exp,Fixed_p0,1.0,5.6116,5.61e+09,252.0822,2.52e+11,1.0,2.1506,44.92,84.87,5.79,9.33,90.67,0.00e+00,Boundary_Upper_Q1,True,True,True
mid,1.0e+22,10000.0,exp,Fixed_p_opt,0.9602,5.9542,5.95e+09,238.8598,2.39e+11,1.0,2.14,40.12,85.33,5.83,8.84,91.16,0.00e+00,Boundary_Upper_Q1,True,True,True
mid,1.0e+22,10000.0,pow,Fixed_p0,1.0,5.7162,5.72e+09,243.5659,2.44e+11,1.0,2.1519,42.61,83.54,5.7,10.76,89.24,1.82e-16,Boundary_Upper_Q1,True,True,True
mid,1.0e+22,10000.0,pow,Fixed_p_opt,0.9602,6.0599,6.06e+09,231.1596,2.31e+11,1.0,2.1412,38.15,84.05,5.74,10.21,89.79,0.00e+00,Boundary_Upper_Q1,True,True,True
mid,1.0e+22,10000.0,log,Fixed_p0,1.0,5.175,5.18e+09,293.0835,2.93e+11,1.0,2.1452,56.63,91.0,6.21,2.78,97.22,1.82e-16,Boundary_Upper_Q1,True,True,True
mid,1.0e+22,10000.0,log,Fixed_p_opt,0.9602,5.5144,5.51e+09,275.5171,2.76e+11,1.0,2.135,49.96,91.16,6.22,2.62,97.38,1.82e-16,Boundary_Upper_Q1,True,True,True
high,1.0e+24,1000000.0,exp,Fixed_p0,1.0,40.7208,4.07e+10,3777.7812,3.78e+12,1.0,1.9139,92.77,92.3,6.3,1.4,98.6,2.33e-16,Boundary_Upper_Q1,True,True,True
high,1.0e+24,1000000.0,exp,Fixed_p_opt,0.9602,43.4339,4.34e+10,3544.8984,3.54e+12,1.0,1.9089,81.62,92.38,6.31,1.31,98.69,1.16e-16,Boundary_Upper_Q1,True,True,True
high,1.0e+24,1000000.0,pow,Fixed_p0,1.0,40.8464,4.08e+10,3756.1841,3.76e+12,1.0,1.9139,91.96,92.06,6.28,1.66,98.34,0.00e+00,Boundary_Upper_Q1,True,True,True
high,1.0e+24,1000000.0,pow,Fixed_p_opt,0.9602,43.5598,4.36e+10,3525.8549,3.53e+12,1.0,1.909,80.94,92.15,6.29,1.56,98.44,1.16e-16,Boundary_Upper_Q1,True,True,True
high,1.0e+24,1000000.0,log,Fixed_p0,1.0,40.2315,4.02e+10,3863.7148,3.86e+12,1.0,1.9135,96.04,93.27,6.37,0.37,99.63,0.00e+00,Boundary_Upper_Q1,True,True,True
high,1.0e+24,1000000.0,log,Fixed_p_opt,0.9602,42.9441,4.29e+10,3620.5066,3.62e+12,1.0,1.9086,84.31,93.29,6.37,0.34,99.66,1.16e-16,Boundary_Upper_Q1,True,True,True
