budget_tier,budget_FLOPs,context_length_L_ctx,arch_reference_C7,psi_attn_to_train_pct,phi_effective_discount,opt_N_B,opt_D_B,opt_Q,opt_Loss,share_train_pct,share_attn_pct,share_quality_pct,attn_in_forward_pct,param_shrinkage_pct,token_shrinkage_pct,delta_loss_penalty
low,1.0e+19,2048,"Pythia, Cerebras-GPT, Falcon",6.83,0.9361,0.2021,6.2755,0.6907,3.2105,76.1,5.19,18.71,6.39,4.79,-14.35,0.0138
low,1.0e+19,4096,"Llama-2, Yi, DeepSeek-7B",13.65,0.8799,0.2075,5.5821,0.7102,3.2233,69.5,9.49,21.01,12.01,7.59,-23.82,0.0266
low,1.0e+19,8192,"Meta-Llama-3, Gemma-2",27.31,0.7855,0.2131,4.666,0.7401,3.2465,59.65,16.29,24.06,21.45,10.48,-36.32,0.0498
low,1.0e+19,30000,Theoretical Parity Threshold (L_crit),100.0,0.5,0.2118,2.7351,0.8291,3.3383,34.76,34.76,30.48,50.0,9.83,-62.67,0.1415
low,1.0e+19,32768,"Mistral-7B, Qwen2, Qwen2.5",109.23,0.478,0.2107,2.6136,0.8367,3.3475,33.03,36.08,30.88,52.2,9.23,-64.33,0.1507
low,1.0e+19,131072,Llama-3.1-8B,436.91,0.1863,0.1735,1.1493,0.9736,3.546,11.97,52.28,35.75,81.37,-10.02,-84.32,0.3492
mid,1.0e+22,2048,"Pythia, Cerebras-GPT, Falcon",6.83,0.9361,5.6116,252.0822,1.0,2.1506,84.87,5.79,9.33,6.39,-3.29,-2.91,0.0044
mid,1.0e+22,4096,"Llama-2, Yi, DeepSeek-7B",13.65,0.8799,5.4389,245.1538,1.0,2.1547,80.0,10.92,9.08,12.01,-6.26,-5.58,0.0086
mid,1.0e+22,8192,"Meta-Llama-3, Gemma-2",27.31,0.7855,5.1374,232.8635,1.0,2.1625,71.78,19.6,8.62,21.45,-11.46,-10.31,0.0163
mid,1.0e+22,30000,Theoretical Parity Threshold (L_crit),100.0,0.5,4.1044,188.8411,1.0,2.1949,46.5,46.5,6.99,50.0,-29.26,-27.27,0.0487
mid,1.0e+22,32768,"Mistral-7B, Qwen2, Qwen2.5",109.23,0.478,4.0143,184.8589,1.0,2.1983,44.52,48.63,6.84,52.2,-30.81,-28.8,0.0521
mid,1.0e+22,131072,Llama-3.1-8B,436.91,0.1863,2.543,116.7923,1.0,2.2748,17.82,77.86,4.32,81.37,-56.17,-55.02,0.1286
high,1.0e+24,2048,"Pythia, Cerebras-GPT, Falcon",6.83,0.9361,40.7208,3777.7812,1.0,1.9139,92.3,6.3,1.4,6.39,-2.99,-3.45,0.0022
high,1.0e+24,4096,"Llama-2, Yi, DeepSeek-7B",13.65,0.8799,39.5764,3655.2187,1.0,1.916,86.8,11.85,1.35,12.01,-5.72,-6.58,0.0044
high,1.0e+24,8192,"Meta-Llama-3, Gemma-2",27.31,0.7855,37.5651,3440.693,1.0,1.9199,77.55,21.18,1.27,21.45,-10.51,-12.07,0.0083
high,1.0e+24,30000,Theoretical Parity Threshold (L_crit),100.0,0.5,30.5358,2701.7438,1.0,1.9363,49.5,49.5,1.0,50.0,-27.26,-30.95,0.0247
high,1.0e+24,32768,"Mistral-7B, Qwen2, Qwen2.5",109.23,0.478,29.9118,2637.1088,1.0,1.938,47.33,51.7,0.98,52.2,-28.74,-32.6,0.0264
high,1.0e+24,131072,Llama-3.1-8B,436.91,0.1863,19.4565,1586.0916,1.0,1.9765,18.52,80.9,0.59,81.37,-53.65,-59.46,0.0649
