ablation_regime,budget_tier,budget_FLOPs,cost_function,opt_N_B,opt_D_B,opt_Q,opt_Loss,h_bar_at_Q_opt,h_bar_prime_at_Q_opt,h_bar_at_ref_Q0684,h_bar_prime_at_ref_Q0684,share_train_pct,share_quality_pct,share_attn_pct,q_regime
Raw_Specification,low,1.0e+19,exp,0.2021,6.2755,0.6907,3.2105,0.2981,3.7836,0.2733,3.6349,76.1,18.71,5.19,Interior
Raw_Specification,low,1.0e+19,pow,0.1417,11.0097,0.584,3.2133,0.0,3.9835,0.5129,6.4003,93.61,0.0,6.39,Boundary_Lower_Q0
Raw_Specification,low,1.0e+19,log,0.3378,3.2099,1.0,3.0967,0.9502,1.8182,0.2729,2.551,65.06,30.5,4.44,Boundary_Upper_Q1
Raw_Specification,mid,1.0e+22,exp,5.6116,252.0822,1.0,2.1506,3.7018,24.2057,0.2733,3.6349,84.87,9.33,5.79,Boundary_Upper_Q1
Raw_Specification,mid,1.0e+22,pow,5.7162,243.5659,1.0,2.1519,4.4184,20.0,0.5129,6.4003,83.54,10.76,5.7,Boundary_Upper_Q1
Raw_Specification,mid,1.0e+22,log,5.175,293.0835,1.0,2.1452,0.9502,1.8182,0.2729,2.551,91.0,2.78,6.21,Boundary_Upper_Q1
Raw_Specification,high,1.0e+24,exp,40.7208,3777.7812,1.0,1.9139,3.7018,24.2057,0.2733,3.6349,92.3,1.4,6.3,Boundary_Upper_Q1
Raw_Specification,high,1.0e+24,pow,40.8464,3756.1841,1.0,1.9139,4.4184,20.0,0.5129,6.4003,92.06,1.66,6.28,Boundary_Upper_Q1
Raw_Specification,high,1.0e+24,log,40.2315,3863.7148,1.0,1.9135,0.9502,1.8182,0.2729,2.551,93.27,0.37,6.37,Boundary_Upper_Q1
Normalized_DeltaQ01,low,1.0e+19,exp,0.2021,6.2755,0.6907,3.2105,0.2981,3.7836,0.2733,3.6349,76.1,18.71,5.19,Interior
Normalized_DeltaQ01,low,1.0e+19,pow,0.4453,1.9198,1.0,3.1892,2.3549,10.6596,0.2733,3.4112,51.29,45.21,3.5,Boundary_Upper_Q1
Normalized_DeltaQ01,low,1.0e+19,log,0.3379,3.2074,1.0,3.0968,0.9517,1.8211,0.2733,2.5551,65.03,30.53,4.44,Boundary_Upper_Q1
Normalized_DeltaQ01,mid,1.0e+22,exp,5.6116,252.0822,1.0,2.1506,3.7018,24.2057,0.2733,3.6349,84.87,9.33,5.79,Boundary_Upper_Q1
Normalized_DeltaQ01,mid,1.0e+22,pow,5.4055,270.2549,1.0,2.148,2.3549,10.6596,0.2733,3.4112,87.65,6.36,5.98,Boundary_Upper_Q1
Normalized_DeltaQ01,mid,1.0e+22,log,5.1753,293.0562,1.0,2.1452,0.9517,1.8211,0.2733,2.5551,91.0,2.79,6.21,Boundary_Upper_Q1
Normalized_DeltaQ01,high,1.0e+24,exp,40.7208,3777.7812,1.0,1.9139,3.7018,24.2057,0.2733,3.6349,92.3,1.4,6.3,Boundary_Upper_Q1
Normalized_DeltaQ01,high,1.0e+24,pow,40.4827,3819.235,1.0,1.9137,2.3549,10.6596,0.2733,3.4112,92.77,0.9,6.33,Boundary_Upper_Q1
Normalized_DeltaQ01,high,1.0e+24,log,40.2318,3863.666,1.0,1.9135,0.9517,1.8211,0.2733,2.5551,93.27,0.37,6.37,Boundary_Upper_Q1
