tau,R_p_multiplier,budget_tier,budget_FLOPs,opt_N_B,opt_D_B,opt_Q,opt_Loss,delta_N_pct_vs_nominal,delta_D_pct_vs_nominal,delta_Loss_vs_nominal
0.45,0.9787,low,1.0e+19,0.2211,5.5695,0.7106,3.191,-6.933,9.732,0.01736
0.45,0.9787,mid,1.0e+22,5.7902,245.0107,1.0,2.1449,-2.754,2.575,0.00494
0.45,0.9787,high,1.0e+24,42.135,3652.7,1.0,1.9112,-2.991,3.041,0.00232
0.65,0.9694,low,1.0e+19,0.2294,5.3103,0.7185,3.1823,-3.455,4.624,0.00867
0.65,0.9694,mid,1.0e+22,5.8715,241.9195,1.0,2.1425,-1.387,1.281,0.00247
0.65,0.9694,high,1.0e+24,42.7794,3598.407,1.0,1.91,-1.507,1.509,0.00116
0.85,0.9602,low,1.0e+19,0.2376,5.0756,0.7261,3.1736,0.0,0.0,0.0
0.85,0.9602,mid,1.0e+22,5.9542,238.8598,1.0,2.14,0.0,0.0,0.0
0.85,0.9602,high,1.0e+24,43.4339,3544.8984,1.0,1.9089,0.0,0.0,0.0
1.15,0.9465,low,1.0e+19,0.2499,4.7607,0.7367,3.1606,5.17,-6.203,-0.01298
1.15,0.9465,mid,1.0e+22,6.0804,234.3291,1.0,2.1363,2.121,-1.897,-0.00367
1.15,0.9465,high,1.0e+24,44.4347,3466.0822,1.0,1.9072,2.304,-2.223,-0.00173
1.5,0.9308,low,1.0e+19,0.2643,4.4385,0.7484,3.1456,11.22,-12.552,-0.02805
1.5,0.9308,mid,1.0e+22,6.2315,229.132,1.0,2.1321,4.657,-4.073,-0.00791
1.5,0.9308,high,1.0e+24,45.6318,3376.2831,1.0,1.9052,5.061,-4.757,-0.00372
