experiment_id,model_version,data_version,month_idx,month,n_models,monthly_best,n_chat,n_pretrained,cumulative_best,record_gain
EXP-407,M4-v2,D4V2-C1-C2-C4,0,2024-06,259,43.59406246367795,182,77,43.59406246367795,0.0
EXP-407,M4-v2,D4V2-C1-C2-C4,1,2024-07,96,35.89001866123902,78,18,43.59406246367795,0.0
EXP-407,M4-v2,D4V2-C1-C2-C4,2,2024-08,135,45.345219749056206,123,12,45.345219749056206,1.7511572853782553
EXP-407,M4-v2,D4V2-C1-C2-C4,3,2024-09,240,51.23132307602696,224,16,51.23132307602696,5.886103326970755
EXP-407,M4-v2,D4V2-C1-C2-C4,4,2024-10,181,47.98045991216864,178,3,51.23132307602696,0.0
EXP-407,M4-v2,D4V2-C1-C2-C4,5,2024-11,157,46.33795303791254,140,17,51.23132307602696,0.0
EXP-407,M4-v2,D4V2-C1-C2-C4,6,2024-12,184,48.10647092442315,173,11,51.23132307602696,0.0
EXP-407,M4-v2,D4V2-C1-C2-C4,7,2025-01,260,46.23110024344452,232,28,51.23132307602696,0.0
EXP-407,M4-v2,D4V2-C1-C2-C4,8,2025-02,171,47.21693789116021,165,6,51.23132307602696,0.0
EXP-407,M4-v2,D4V2-C1-C2-C4,9,2025-03,122,47.09154471380421,109,13,51.23132307602696,0.0
