experiment_id,model_version,data_version,horizon_months,origin_month_idx,target_month_idx,target_month,actual_cumulative_best,persistence,mean_gain,mean_conditional,quantile_conditional,training_model_rows,record_updated,persistence_abs_error,mean_gain_abs_error,mean_conditional_abs_error,quantile_conditional_abs_error
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,1,3,4,2024-10,51.23132307602696,51.23132307602696,53.77707661347663,51.687071431739675,51.8267616133942,69,False,0.0,2.54575353744967,0.4557483557127142,0.5954385373672366
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,1,4,5,2024-11,51.23132307602696,51.23132307602696,53.14063822911422,52.060949594954565,52.00430297387727,71,False,0.0,1.909315153087256,0.8296265189276042,0.7729798978503126
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,1,5,6,2024-12,51.23132307602696,51.23132307602696,52.758775198496764,51.23132307602696,52.03161177690843,75,False,0.0,1.5274521224698034,0.0,0.8002887008814668
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,1,6,7,2025-01,51.23132307602696,51.23132307602696,52.504199844751795,52.10217147474358,52.51969789855543,81,False,0.0,1.272876768724835,0.8708483987166176,1.2883748225284677
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,1,7,8,2025-02,51.23132307602696,51.23132307602696,52.32236030636253,51.62143908013418,52.01518353933174,96,False,0.0,1.0910372303355729,0.39011600410722025,0.7838604633047765
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,1,8,9,2025-03,51.23132307602696,51.23132307602696,52.185980652570585,52.148961848453986,52.52969089924216,108,False,0.0,0.9546575765436245,0.9176387724270256,1.2983678232152016
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,3,3,6,2024-12,51.23132307602696,51.23132307602696,58.86858368837597,52.622357605206005,53.0326960961741,69,False,0.0,7.63726061234901,1.391034529179045,1.801373020147139
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,3,4,7,2025-01,51.23132307602696,51.23132307602696,56.959268535288714,53.784777930845976,53.57054880480033,71,False,0.0,5.727945459261754,2.553454854819016,2.3392257287733713
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,3,5,8,2025-02,51.23132307602696,51.23132307602696,55.81367944343637,51.23132307602696,53.66996098181106,75,False,0.0,4.58235636740941,0.0,2.4386379057840983
EXP-408,M4-v2.1,D4V2-C1-C2-C3-C4,3,6,9,2025-03,51.23132307602696,51.23132307602696,55.049953382201466,53.91728980759811,55.154804338435326,81,False,0.0,3.818630306174505,2.685966731571149,3.923481262408366
