Model_C8,Model_C1,BBH_Raw_Weighted,BBH_Raw_Macro,BBH_C1_Reported,Num_Subtasks,BBH_Reconstructed_Score,Reconstruction_Residual
0-hero_Matter-0.2-7B-DPO,0-hero/Matter-0.2-7B-DPO,35.84447144592953,35.96254301656297,10.055525080241036,24,11.48158006543567,-1.426054985194634
01-ai_Yi-1.5-34B,01-ai/Yi-1.5-34B,59.53827460510328,59.76391706360018,42.74936268839652,24,44.17304197308727,-1.4236792846907491
01-ai_Yi-1.5-34B-32K,01-ai/Yi-1.5-34B-32K,59.81600416594341,60.15685776542417,43.38184666762572,24,44.55623859618062,-1.174391928554897
01-ai_Yi-1.5-34B-Chat,01-ai/Yi-1.5-34B-Chat,60.649192848463805,60.83748310271818,44.262825981005655,24,45.70582846546066,-1.4430024844550076
01-ai_Yi-1.5-34B-Chat-16K,01-ai/Yi-1.5-34B-Chat-16K,60.701267141121335,61.002182564995714,44.53615654671034,24,45.777677832290685,-1.2415212855803475
01-ai_Yi-1.5-6B,01-ai/Yi-1.5-6B,44.81860788057629,44.88346218753918,22.027904536694773,24,23.863620949139605,-1.8357164124448317
01-ai_Yi-1.5-6B-Chat,01-ai/Yi-1.5-6B-Chat,45.061621246311404,45.54861043778055,23.67872313235784,24,24.19891799434629,-0.5201948619884469
01-ai_Yi-1.5-9B,01-ai/Yi-1.5-9B,51.3626106578719,51.42941791041909,30.50071699492122,24,32.89269138077672,-2.391974385855498
01-ai_Yi-1.5-9B-32K,01-ai/Yi-1.5-9B-32K,49.401145634438464,49.633211598826506,28.937011582169664,24,30.186365230179913,-1.2493536480102492
01-ai_Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B-Chat,55.28554070473876,55.59064302816849,36.95293138417893,24,38.30534368197031,-1.3524122977913748
01-ai_Yi-1.5-9B-Chat-16K,01-ai/Yi-1.5-9B-Chat-16K,51.24110397500434,51.533833646517785,31.49760894701832,24,32.725042858173374,-1.2274339111550532
01-ai_Yi-34B,01-ai/Yi-34B,54.50442631487589,54.570999517945616,35.542431259008794,24,37.227603179520266,-1.685171920511472
01-ai_Yi-34B-200K,01-ai/Yi-34B-200K,54.01839958340566,54.41817925289527,36.02211028900003,24,36.5570090891069,-0.5348988001068662
01-ai_Yi-34B-Chat,01-ai/Yi-34B-Chat,55.268182607186255,55.608729107661645,37.623987597243485,24,38.28139389302698,-0.6574062957834954
01-ai_Yi-6B,01-ai/Yi-6B,42.66620378406527,43.092305910008655,19.408504737915056,24,20.89384712016613,-1.4853423822510727
01-ai_Yi-6B-200K,01-ai/Yi-6B-200K,42.45790661343517,42.89294810960331,20.148020103768047,24,20.606449652846116,-0.458429549078069
01-ai_Yi-6B-Chat,01-ai/Yi-6B-Chat,40.87831973615692,41.32601920754869,17.00016656742376,24,18.427018859002676,-1.4268522915789141
01-ai_Yi-9B,01-ai/Yi-9B,49.2622808540184,49.39607512530807,27.62695611207793,24,29.994766918633243,-2.367810806555312
01-ai_Yi-9B-200K,01-ai/Yi-9B-200K,47.80420065960771,47.93302602023641,26.49249509714754,24,27.982984647393145,-1.4904895502456057
01-ai_Yi-Coder-9B-Chat,01-ai/Yi-Coder-9B-Chat,48.029855927790315,48.14200033911168,25.94315294491389,24,28.294331903656488,-2.3511789587425973
1-800-LLMs_Qwen-2.5-14B-Hindi,1-800-LLMs/Qwen-2.5-14B-Hindi,64.97135913903836,65.239015319562,49.32988995210337,24,51.66932591235096,-2.3394359602475916
1-800-LLMs_Qwen-2.5-14B-Hindi-Custom-Instruct,1-800-LLMs/Qwen-2.5-14B-Hindi-Custom-Instruct,62.575941676792226,62.84322714967582,46.54015554088327,24,48.36425503817081,-1.8240994972875413
1024m_PHI-4-Hindi,1024m/PHI-4-Hindi,66.96754035757681,67.10015642760665,52.46181381023763,24,54.42355164083443,-1.9617378305968032
1024m_QWEN-14B-B100,1024m/QWEN-14B-B100,65.11022391945843,65.3271132679638,49.77664782103219,24,51.860924223897655,-2.084276402865463
152334H_miqu-1-70b-sf,152334H/miqu-1-70b-sf,60.87484811664642,61.02361685099691,43.807147003691966,24,46.01717572172403,-2.2100287180320635
1TuanPham_T-VisStar-7B-v0.1,1TuanPham/T-VisStar-7B-v0.1,50.3211248047214,50.52203113352468,30.24383447882599,24,31.455704044176642,-1.2118695653506535
1TuanPham_T-VisStar-v0.1,1TuanPham/T-VisStar-v0.1,50.3211248047214,50.52203113352468,30.24383447882599,24,31.455704044176642,-1.2118695653506535
3rd-Degree-Burn_L-3.1-Science-Writer-8B,3rd-Degree-Burn/L-3.1-Science-Writer-8B,50.078111438986284,50.41306326216104,29.19930078641656,24,31.12040699896996,-1.921106212553397
3rd-Degree-Burn_Llama-3.1-8B-Squareroot,3rd-Degree-Burn/Llama-3.1-8B-Squareroot,34.247526471098766,34.60942332632887,8.618063681935197,24,9.27819948264889,-0.660135800713693
3rd-Degree-Burn_Llama-3.1-8B-Squareroot-v1,3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,33.153966325290746,33.427703119251255,6.515144725982737,24,7.769362779218817,-1.2542180532360794
3rd-Degree-Burn_Llama-Squared-8B,3rd-Degree-Burn/Llama-Squared-8B,44.10692588092345,44.310256838683536,21.277103190106818,24,22.88167960246289,-1.6045764123560708
4season_final_model_test_v2,4season/final_model_test_v2,63.235549383787536,63.42049783295019,47.410670136906425,24,49.27434701801751,-1.8636768811110827
AALF_FuseChat-Llama-3.1-8B-Instruct-preview,AALF/FuseChat-Llama-3.1-8B-Instruct-preview,50.9460163166117,51.198878983499036,30.84806521622957,24,32.317896446136686,-1.4698312299071148
AALF_FuseChat-Llama-3.1-8B-SFT-preview,AALF/FuseChat-Llama-3.1-8B-SFT-preview,52.2131574379448,52.40303130445233,32.53678156315301,24,34.06623103900011,-1.5294494758470947
AALF_gemma-2-27b-it-SimPO-37K,AALF/gemma-2-27b-it-SimPO-37K,38.899496615170975,39.113439179525336,15.307880971954305,24,15.696742919462537,-0.3888619475082322
AALF_gemma-2-27b-it-SimPO-37K-100steps,AALF/gemma-2-27b-it-SimPO-37K-100steps,39.17722617601111,39.30823076988502,15.261078322847055,24,16.079939542555895,-0.8188612197088396
AELLM_gemma-2-aeria-infinity-9b,AELLM/gemma-2-aeria-infinity-9b,59.76392987328589,59.8333666957765,42.0902142313775,24,44.48438922935062,-2.394174997973117
AELLM_gemma-2-lyco-infinity-9b,AELLM/gemma-2-lyco-infinity-9b,58.28849158132269,58.39534871023702,39.78753882674737,24,42.448657169167184,-2.6611183424198117
AGI-0_Art-v0-3B,AGI-0/Art-v0-3B,33.865648324943585,33.98105601735286,8.029776912286984,24,8.751304125895533,-0.7215272136085495
AGI-0_Artificium-llama3.1-8B-001,AGI-0/Artificium-llama3.1-8B-001,42.37111612567263,42.56215022592355,19.34889807323965,24,20.486700708129444,-1.1378026348897947
AGI-0_smartllama3.1-8B-001,AGI-0/smartllama3.1-8B-001,46.39819475785454,46.70178751086817,24.8577369132814,24,26.043051742983046,-1.185314829701646
AI-MO_NuminaMath-7B-CoT,AI-MO/NuminaMath-7B-CoT,42.978649540010416,43.14193495860011,19.152364282090307,24,21.32494332114615,-2.1725790390558437
AI-MO_NuminaMath-7B-TIR,AI-MO/NuminaMath-7B-TIR,41.27755597986461,41.43691337589789,16.87354725795866,24,18.97786400469937,-2.104316746740711
AI-Sweden-Models_Llama-3-8B-instruct,AI-Sweden-Models/Llama-3-8B-instruct,41.468495052942195,41.73460154515302,18.388095615027524,24,19.24131168307604,-0.8532160680485177
AI-Sweden-Models_gpt-sw3-40b,AI-Sweden-Models/gpt-sw3-40b,32.45964242319042,32.67744702957652,6.894934050796576,24,6.811371221485437,0.08356282931113856
AI4free_Dhanishtha,AI4free/Dhanishtha,33.76149973962853,34.03944494332637,7.93648440557281,24,8.607605392235522,-0.6711209866627117
AI4free_t2,AI4free/t2,28.745009546953654,29.101114363217686,2.133152068631521,24,1.6861163876118552,0.4470356810196656
AIDC-AI_Marco-o1,AIDC-AI/Marco-o1,53.341433778857834,53.643626963987494,34.84254498655976,24,35.622967320316846,-0.7804223337570875
Aashraf995_Creative-7B-nerd,Aashraf995/Creative-7B-nerd,55.84099982641902,56.06785565640195,37.0801538173552,24,39.071736928157016,-1.9915831108018125
Aashraf995_Gemma-Evo-10B,Aashraf995/Gemma-Evo-10B,60.35410519007117,60.443528975528814,43.42455936867185,24,45.29868205342399,-1.8741226847521375
Aashraf995_Qwen-Evo-7B,Aashraf995/Qwen-Evo-7B,56.81305328935949,57.09361538590277,38.585326990506125,24,40.41292510898375,-1.8275981184776242
Aashraf995_QwenStock-14B,Aashraf995/QwenStock-14B,65.2838048949835,65.50130348108011,50.43389870716874,24,52.10042211333098,-1.6665234061622414
AbacusResearch_Jallabi-34B,AbacusResearch/Jallabi-34B,59.868078458600934,60.23380603196265,43.61576498719506,24,44.62808796301062,-1.0123229758155645
Ahdoot_StructuredThinker-v0.3-MoreStructure,Ahdoot/StructuredThinker-v0.3-MoreStructure,48.13400451310537,48.37690649489398,27.258541777802407,24,28.4380306373165,-1.1794888595140947
Ahdoot_Test_StealthThinker,Ahdoot/Test_StealthThinker,46.1031070994619,46.46639813466629,25.366571749083093,24,25.63590533094636,-0.2693335818632683
AicoresSecurity_Cybernet-Sec-3B-R1-V0,AicoresSecurity/Cybernet-Sec-3B-R1-V0,44.87068217323382,44.9743419491294,22.32210586978715,24,23.935470315969614,-1.6133644461824623
AicoresSecurity_Cybernet-Sec-3B-R1-V0-Coder,AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,44.52352022218365,44.77501104993748,22.65149321038919,24,23.45647453710292,-0.8049813267137296
AicoresSecurity_Cybernet-Sec-3B-R1-V1,AicoresSecurity/Cybernet-Sec-3B-R1-V1,42.63148758896025,42.82342020189216,19.125071594281845,24,20.845947542279454,-1.7208759479976088
AicoresSecurity_Cybernet-Sec-3B-R1-V1.1,AicoresSecurity/Cybernet-Sec-3B-R1-V1.1,43.672973442110745,43.91775517124728,20.43056853928926,24,22.28293487887953,-1.8523663395902688
Alepach_notHumpback-M0,Alepach/notHumpback-M0,28.640860961638605,29.00111436321769,1.2773603683897798,24,1.5424176539518495,-0.26505728556206964
Alepach_notHumpback-M1,Alepach/notHumpback-M1,29.109529595556328,29.498007801214708,1.922946094565394,24,2.1890619554218818,-0.26611586085648775
Alepach_notHumpback-M1-v2,Alepach/notHumpback-M1-v2,27.51258462072557,27.75640398406834,1.2676708259061196,24,0.0,1.2676708259061196
Alibaba-NLP_gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,44.57559451484117,44.95144990818469,21.92548248566236,24,23.52832390393292,-1.602841418270561
Alsebay_Qwen2.5-7B-test-novelist,Alsebay/Qwen2.5-7B-test-novelist,51.171671584794304,51.512151844660515,30.417500036352997,24,32.62924370240003,-2.2117436660470347
Amaorynho_BBAI2006,Amaorynho/BBAI2006,26.714112133310188,27.043669901671333,1.6776683167876156,24,0.0,1.6776683167876156
Amaorynho_BBAI270V4,Amaorynho/BBAI270V4,30.411386911994445,30.712046736502817,3.006785000149223,24,3.9852961261719666,-0.9785111260227435
Amaorynho_BBAIIFEV1,Amaorynho/BBAIIFEV1,52.80333275473008,52.924620385605095,32.97465792285014,24,34.88052386307348,-1.905865940223336
Amaorynho_BBAI_375,Amaorynho/BBAI_375,26.714112133310188,27.043669901671333,1.6776683167876156,24,0.0,1.6776683167876156
Amu_t1-1.5B,Amu/t1-1.5B,39.80211768790141,40.076069841092156,15.17286027788074,24,16.942131944515936,-1.7692716666351949
Amu_t1-3B,Amu/t1-3B,39.64589480992883,39.989750143834385,15.248848632790676,24,16.726583844025928,-1.4777352112352524
ArliAI_ArliAI-RPMax-12B-v1.1,ArliAI/ArliAI-RPMax-12B-v1.1,47.335532025689986,47.518176084011905,24.80906331793277,24,27.33634034592311,-2.527277027990337
ArliAI_Llama-3.1-8B-ArliAI-RPMax-v1.1,ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,49.97396285367124,50.15613456039082,28.787014099442825,24,30.976708265309956,-2.189694165867131
Arthur-LAGACHERIE_Precis-1B-Instruct,Arthur-LAGACHERIE/Precis-1B-Instruct,31.956257594167678,32.236145106873686,6.06909792285563,24,6.116827342128737,-0.047729419273106366
Artples_L-MChat-7b,Artples/L-MChat-7b,45.842735636174275,46.00330167467941,24.20155738881327,24,25.276658496796344,-1.0751011079830732
Artples_L-MChat-Small,Artples/L-MChat-Small,47.89099114737025,48.225627665257264,26.856515500031357,24,28.102733592109818,-1.2462180920784611
Aryanne_QwentileSwap,Aryanne/QwentileSwap,69.79691025863565,70.08370136278448,57.67565555333628,24,58.32736723859796,-0.6517116852616809
Aryanne_SHBA,Aryanne/SHBA,52.10900885262975,52.33174837035714,32.47770265291174,24,33.9225323053401,-1.4448296524283606
Aryanne_SuperHeart,Aryanne/SuperHeart,51.91806977955216,52.15375046264325,31.893554212659296,24,33.65908462696342,-1.7655304143041235
AtAndDev_Qwen2.5-1.5B-continuous-learnt,AtAndDev/Qwen2.5-1.5B-continuous-learnt,42.162818955042525,42.577470857933335,19.53766599736009,24,20.199303240809424,-0.6616372434493343
Ateron_Glowing-Forest-12B,Ateron/Glowing-Forest-12B,54.69536538795348,54.9176294722067,35.52548240518279,24,37.49105085789694,-1.9655684527141446
Ateron_Lotus-Magpic,Ateron/Lotus-Magpic,52.26523173060232,52.53514950133299,32.65772737584173,24,34.13808040583011,-1.480353029988379
Ateron_Way_of_MagPicaro,Ateron/Way_of_MagPicaro,54.01839958340566,54.27386861946703,34.315941121704846,24,36.5570090891069,-2.241067967402053
AuraIndustries_Aura-4B,AuraIndustries/Aura-4B,44.69710119770873,44.904094650019466,22.64085672774061,24,23.69597242653627,-1.0551156987956603
AuraIndustries_Aura-8B,AuraIndustries/Aura-8B,51.08488109703177,51.31231419849062,30.98134841070972,24,32.50949475768336,-1.5281463469736423
AuraIndustries_Aura-MoE-2x4B,AuraIndustries/Aura-MoE-2x4B,43.22166290574553,43.38506704177467,20.61384808360901,24,21.660240366352834,-1.046392282743824
AuraIndustries_Aura-MoE-2x4B-v2,AuraIndustries/Aura-MoE-2x4B-v2,42.92657524735289,43.152444292813605,20.801181076748463,24,21.25309395431615,-0.45191287756768617
Aurel9_testmerge-7b,Aurel9/testmerge-7b,51.51883353584447,51.89590919105129,32.79279332763635,24,33.10823948126673,-0.31544615363037565
Ayush-Singh_Llama1B-sft-2,Ayush-Singh/Llama1B-sft-2,28.08540183995834,28.342820421436798,1.2375708061002186,24,0.776024407765144,0.4615463983350746
Azure99_Blossom-V6-14B,Azure99/Blossom-V6-14B,50.23433431695886,50.68726694646123,30.3528011952772,24,31.335955099459966,-0.9831539041827675
Azure99_Blossom-V6-7B,Azure99/Blossom-V6-7B,49.54001041485853,49.736683240887,29.447521285247884,24,30.377963541726587,-0.9304422564787025
Azure99_blossom-v5-32b,Azure99/blossom-v5-32b,59.312619336920676,59.545452570046734,42.883055884713976,24,43.861694716823926,-0.9786388321099508
Azure99_blossom-v5-llama3-8b,Azure99/blossom-v5-llama3-8b,41.55528554070474,41.849091970872614,18.306535405618444,24,19.361060627792718,-1.0545252221742736
Azure99_blossom-v5.1-34b,Azure99/blossom-v5.1-34b,60.80541572643638,61.07443429944494,44.14770458838461,24,45.92137656595068,-1.7736719775660674
Azure99_blossom-v5.1-9b,Azure99/blossom-v5.1-9b,53.18521090088527,53.43292377916367,34.20124449031171,24,35.40741921982684,-1.2061747295151335
BAAI_Gemma2-9B-IT-Simpo-Infinity-Preference,BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,59.71185558062837,59.794596642300554,42.19084405906616,24,44.412539862520624,-2.221695803454466
BAAI_Infinity-Instruct-3M-0613-Llama3-70B,BAAI/Infinity-Instruct-3M-0613-Llama3-70B,66.25585835792397,66.41614484348597,51.32716098252212,24,53.44161029415773,-2.114449311635603
BAAI_Infinity-Instruct-3M-0613-Mistral-7B,BAAI/Infinity-Instruct-3M-0613-Mistral-7B,49.418503731990974,49.582333763258895,28.992936470320583,24,30.21031501912325,-1.2173785488026674
BAAI_Infinity-Instruct-3M-0625-Llama3-70B,BAAI/Infinity-Instruct-3M-0625-Llama3-70B,66.39472313834403,66.70337872930246,52.02816164280523,24,53.6332086057044,-1.6050469628991664
BAAI_Infinity-Instruct-3M-0625-Llama3-8B,BAAI/Infinity-Instruct-3M-0625-Llama3-8B,49.21020656136088,49.54985723563076,28.9882222457564,24,29.92291755180324,-0.9346953060468408
BAAI_Infinity-Instruct-3M-0625-Mistral-7B,BAAI/Infinity-Instruct-3M-0625-Mistral-7B,49.140774171150845,49.39670574681802,28.82328942958971,24,29.8271183960299,-1.0038289664401887
BAAI_Infinity-Instruct-3M-0625-Qwen2-7B,BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,53.15049470578025,53.45911997776568,34.65682860864863,24,35.35951964194017,-0.7026910332915364
BAAI_Infinity-Instruct-3M-0625-Yi-1.5-9B,BAAI/Infinity-Instruct-3M-0625-Yi-1.5-9B,54.97309494879361,55.09115146247397,35.37870748220464,24,37.874247480990284,-2.4955399987856453
BAAI_Infinity-Instruct-7M-0729-Llama3_1-8B,BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,50.40791529248394,50.77335431381055,30.88880460756557,24,31.575452988893314,-0.6866483813277426
BAAI_Infinity-Instruct-7M-0729-mistral-7B,BAAI/Infinity-Instruct-7M-0729-mistral-7B,49.31435514667592,49.63813586525743,28.697915491520025,24,30.066616285463237,-1.368700793943212
BAAI_Infinity-Instruct-7M-Gen-Llama3_1-70B,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,66.7592431869467,66.9520046136747,52.49894685232329,24,54.13615417351442,-1.637207321191127
BAAI_Infinity-Instruct-7M-Gen-Llama3_1-8B,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,50.40791529248394,50.77335431381055,30.88880460756557,24,31.575452988893314,-0.6866483813277426
BAAI_Infinity-Instruct-7M-Gen-mistral-7B,BAAI/Infinity-Instruct-7M-Gen-mistral-7B,49.31435514667592,49.63813586525743,28.697915491520025,24,30.066616285463237,-1.368700793943212
BAAI_OPI-Llama-3.1-8B-Instruct,BAAI/OPI-Llama-3.1-8B-Instruct,35.20222183648672,35.51224419497604,9.76871171424153,24,10.595437874532292,-0.8267261602907627
BEE-spoke-data_Meta-Llama-3-8Bee,BEE-spoke-data/Meta-Llama-3-8Bee,46.207255684776946,46.26364190575274,24.19903269979749,24,25.779604064606364,-1.5805713648088755
BEE-spoke-data_smol_llama-101M-GQA,BEE-spoke-data/smol_llama-101M-GQA,29.76913730255164,30.17560771912554,3.1980040943527936,24,3.0991539352685926,0.09885015908420103
BEE-spoke-data_smol_llama-220M-GQA,BEE-spoke-data/smol_llama-220M-GQA,29.977434473181738,30.316731388708956,3.03784275772053,24,3.3865514025886037,-0.34870864486807385
BEE-spoke-data_smol_llama-220M-GQA-fineweb_edu,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,28.97066481513626,29.29051716451059,2.314902449149024,24,1.997463643875203,0.3174388052738213
BEE-spoke-data_smol_llama-220M-openhermes,BEE-spoke-data/smol_llama-220M-openhermes,29.977434473181738,30.275191401927724,3.107692077087363,24,3.3865514025886037,-0.2788593255012408
BEE-spoke-data_tFINE-900m-e16-d32-flan,BEE-spoke-data/tFINE-900m-e16-d32-flan,30.116299253601806,30.280434847620608,4.411893932611097,24,3.5781497141352823,0.8337442184758146
BEE-spoke-data_tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,31.1577851067523,31.37786304497592,4.737018282627999,24,5.015137050735351,-0.27811876810735203
BEE-spoke-data_tFINE-900m-e16-d32-instruct_2e,BEE-spoke-data/tFINE-900m-e16-d32-instruct_2e,30.96684603367471,31.345674638809026,5.013070335904381,24,4.751689372358673,0.26138096354570806
BEE-spoke-data_tFINE-900m-instruct-orpo,BEE-spoke-data/tFINE-900m-instruct-orpo,29.994792570734248,30.220933767045096,3.267300577931774,24,3.41050119153194,-0.143200613600166
BSC-LT_salamandra-7b,BSC-LT/salamandra-7b,35.09807325117167,35.16612209885983,10.157421990520298,24,10.45173914087228,-0.2943171503519828
BSC-LT_salamandra-7b-instruct,BSC-LT/salamandra-7b-instruct,38.29196320083319,38.51324290080956,14.688128545731288,24,14.858500306445832,-0.17037176071454319
Ba2han_Llama-Phi-3_DoRA,Ba2han/Llama-Phi-3_DoRA,54.90366255858358,55.145582590291916,37.24916418079274,24,37.77844832521695,-0.52928414442421
Baptiste-HUVELLE-10_LeTriomphant2.2_ECE_iLAB,Baptiste-HUVELLE-10/LeTriomphant2.2_ECE_iLAB,72.38326679395938,72.56319952414621,61.61232489960707,24,61.895885791154804,-0.28356089154773656
