Scenario_Key,Scenario_Name,Month_Offset,Future_Date,Compute_FLOP,PathA_Frontier_Chat,PathA_Frontier_Pretrained,PathB_Optimal_Loss_Q3,PathB_Bridge_Pretrained,Dual_Path_Discrepancy
Scenario_1_Momentum,情景一：历史动量惯性,1,2025-04,8.667e+24,41.69,36.76,1.8469,20.03,16.73
Scenario_1_Momentum,情景一：历史动量惯性,2,2025-05,9.631e+24,40.85,35.96,1.8443,20.09,15.87
Scenario_1_Momentum,情景一：历史动量惯性,3,2025-06,1.070e+25,40.09,35.24,1.8419,20.15,15.08
Scenario_1_Momentum,情景一：历史动量惯性,4,2025-07,1.189e+25,39.39,34.58,1.8394,20.21,14.37
Scenario_1_Momentum,情景一：历史动量惯性,5,2025-08,1.321e+25,38.76,33.99,1.837,20.27,13.71
Scenario_1_Momentum,情景一：历史动量惯性,6,2025-09,1.468e+25,38.2,33.45,1.8346,20.33,13.12
Scenario_1_Momentum,情景一：历史动量惯性,7,2025-10,1.632e+25,37.69,32.97,1.8323,20.39,12.58
Scenario_1_Momentum,情景一：历史动量惯性,8,2025-11,1.813e+25,37.24,32.55,1.83,20.45,12.1
Scenario_1_Momentum,情景一：历史动量惯性,9,2025-12,2.015e+25,36.84,32.17,1.8278,20.5,11.67
Scenario_1_Momentum,情景一：历史动量惯性,10,2026-01,2.239e+25,36.48,31.84,1.8255,20.56,11.28
Scenario_1_Momentum,情景一：历史动量惯性,11,2026-02,2.487e+25,36.18,31.55,1.8234,20.61,10.94
Scenario_1_Momentum,情景一：历史动量惯性,12,2026-03,2.764e+25,35.91,31.3,1.8212,20.67,10.64
Scenario_1_Momentum,情景一：历史动量惯性,13,2026-04,3.071e+25,35.69,31.09,1.8191,20.72,10.37
Scenario_1_Momentum,情景一：历史动量惯性,14,2026-05,3.413e+25,35.5,30.92,1.817,20.77,10.15
Scenario_1_Momentum,情景一：历史动量惯性,15,2026-06,3.792e+25,35.35,30.78,1.815,20.83,9.95
Scenario_1_Momentum,情景一：历史动量惯性,16,2026-07,4.214e+25,35.23,30.67,1.813,20.88,9.79
Scenario_1_Momentum,情景一：历史动量惯性,17,2026-08,4.683e+25,35.15,30.59,1.811,20.93,9.66
Scenario_1_Momentum,情景一：历史动量惯性,18,2026-09,5.203e+25,35.09,30.54,1.809,20.98,9.56
Scenario_1_Momentum,情景一：历史动量惯性,19,2026-10,5.782e+25,35.07,30.52,1.8071,21.03,9.49
Scenario_1_Momentum,情景一：历史动量惯性,20,2026-11,6.425e+25,35.07,30.52,1.8052,21.07,9.45
Scenario_1_Momentum,情景一：历史动量惯性,21,2026-12,7.139e+25,35.1,30.54,1.8034,21.12,9.42
Scenario_1_Momentum,情景一：历史动量惯性,22,2027-01,7.933e+25,35.15,30.59,1.8016,21.17,9.43
Scenario_1_Momentum,情景一：历史动量惯性,23,2027-02,8.815e+25,35.23,30.66,1.7998,21.21,9.45
Scenario_1_Momentum,情景一：历史动量惯性,24,2027-03,9.795e+25,35.32,30.76,1.798,21.26,9.5
Scenario_2_Halved,情景二：增速腰斩减半,1,2025-04,8.222e+24,41.41,36.5,1.8481,20.0,16.5
Scenario_2_Halved,情景二：增速腰斩减半,2,2025-05,8.667e+24,40.3,35.44,1.8469,20.03,15.41
Scenario_2_Halved,情景二：增速腰斩减半,3,2025-06,9.136e+24,39.26,34.46,1.8456,20.06,14.4
Scenario_2_Halved,情景二：增速腰斩减半,4,2025-07,9.631e+24,38.3,33.55,1.8443,20.09,13.46
Scenario_2_Halved,情景二：增速腰斩减半,5,2025-08,1.015e+25,37.41,32.71,1.8431,20.12,12.59
Scenario_2_Halved,情景二：增速腰斩减半,6,2025-09,1.070e+25,36.59,31.94,1.8419,20.15,11.79
Scenario_2_Halved,情景二：增速腰斩减半,7,2025-10,1.128e+25,35.83,31.23,1.8406,20.18,11.04
Scenario_2_Halved,情景二：增速腰斩减半,8,2025-11,1.189e+25,35.12,30.57,1.8394,20.21,10.35
Scenario_2_Halved,情景二：增速腰斩减半,9,2025-12,1.254e+25,34.47,29.96,1.8382,20.24,9.72
Scenario_2_Halved,情景二：增速腰斩减半,10,2026-01,1.321e+25,33.87,29.41,1.837,20.27,9.13
Scenario_2_Halved,情景二：增速腰斩减半,11,2026-02,1.393e+25,33.32,28.89,1.8358,20.3,8.59
Scenario_2_Halved,情景二：增速腰斩减半,12,2026-03,1.468e+25,32.81,28.43,1.8346,20.33,8.09
Scenario_2_Halved,情景二：增速腰斩减半,13,2026-04,1.548e+25,32.34,28.0,1.8335,20.36,7.63
Scenario_2_Halved,情景二：增速腰斩减半,14,2026-05,1.632e+25,31.92,27.6,1.8323,20.39,7.21
Scenario_2_Halved,情景二：增速腰斩减半,15,2026-06,1.720e+25,31.53,27.24,1.8312,20.42,6.82
Scenario_2_Halved,情景二：增速腰斩减半,16,2026-07,1.813e+25,31.17,26.92,1.83,20.45,6.47
Scenario_2_Halved,情景二：增速腰斩减半,17,2026-08,1.911e+25,30.84,26.62,1.8289,20.48,6.14
Scenario_2_Halved,情景二：增速腰斩减半,18,2026-09,2.015e+25,30.55,26.35,1.8278,20.5,5.84
Scenario_2_Halved,情景二：增速腰斩减半,19,2026-10,2.124e+25,30.28,26.11,1.8266,20.53,5.57
Scenario_2_Halved,情景二：增速腰斩减半,20,2026-11,2.239e+25,30.04,25.89,1.8255,20.56,5.33
Scenario_2_Halved,情景二：增速腰斩减半,21,2026-12,2.360e+25,29.83,25.69,1.8244,20.59,5.1
Scenario_2_Halved,情景二：增速腰斩减半,22,2027-01,2.487e+25,29.64,25.52,1.8234,20.61,4.9
Scenario_2_Halved,情景二：增速腰斩减半,23,2027-02,2.622e+25,29.47,25.36,1.8223,20.64,4.72
Scenario_2_Halved,情景二：增速腰斩减半,24,2027-03,2.764e+25,29.32,25.23,1.8212,20.67,4.56
Scenario_3_Stagnation,情景三：算力全面封顶,1,2025-04,7.800e+24,41.13,36.23,1.8494,19.97,16.27
Scenario_3_Stagnation,情景三：算力全面封顶,2,2025-05,7.800e+24,39.75,34.91,1.8494,19.97,14.95
Scenario_3_Stagnation,情景三：算力全面封顶,3,2025-06,7.800e+24,38.45,33.68,1.8494,19.97,13.72
Scenario_3_Stagnation,情景三：算力全面封顶,4,2025-07,7.800e+24,37.23,32.54,1.8494,19.97,12.57
Scenario_3_Stagnation,情景三：算力全面封顶,5,2025-08,7.800e+24,36.08,31.46,1.8494,19.97,11.5
Scenario_3_Stagnation,情景三：算力全面封顶,6,2025-09,7.800e+24,35.01,30.46,1.8494,19.97,10.5
Scenario_3_Stagnation,情景三：算力全面封顶,7,2025-10,7.800e+24,34.0,29.53,1.8494,19.97,9.56
Scenario_3_Stagnation,情景三：算力全面封顶,8,2025-11,7.800e+24,33.06,28.66,1.8494,19.97,8.69
Scenario_3_Stagnation,情景三：算力全面封顶,9,2025-12,7.800e+24,32.18,27.84,1.8494,19.97,7.88
Scenario_3_Stagnation,情景三：算力全面封顶,10,2026-01,7.800e+24,31.35,27.08,1.8494,19.97,7.12
Scenario_3_Stagnation,情景三：算力全面封顶,11,2026-02,7.800e+24,30.58,26.38,1.8494,19.97,6.41
Scenario_3_Stagnation,情景三：算力全面封顶,12,2026-03,7.800e+24,29.85,25.71,1.8494,19.97,5.75
Scenario_3_Stagnation,情景三：算力全面封顶,13,2026-04,7.800e+24,29.17,25.09,1.8494,19.97,5.13
Scenario_3_Stagnation,情景三：算力全面封顶,14,2026-05,7.800e+24,28.54,24.51,1.8494,19.97,4.55
Scenario_3_Stagnation,情景三：算力全面封顶,15,2026-06,7.800e+24,27.94,23.97,1.8494,19.97,4.01
Scenario_3_Stagnation,情景三：算力全面封顶,16,2026-07,7.800e+24,27.38,23.46,1.8494,19.97,3.5
Scenario_3_Stagnation,情景三：算力全面封顶,17,2026-08,7.800e+24,26.85,22.99,1.8494,19.97,3.02
Scenario_3_Stagnation,情景三：算力全面封顶,18,2026-09,7.800e+24,26.36,22.55,1.8494,19.97,2.58
Scenario_3_Stagnation,情景三：算力全面封顶,19,2026-10,7.800e+24,25.89,22.13,1.8494,19.97,2.16
Scenario_3_Stagnation,情景三：算力全面封顶,20,2026-11,7.800e+24,25.46,21.74,1.8494,19.97,1.77
Scenario_3_Stagnation,情景三：算力全面封顶,21,2026-12,7.800e+24,25.05,21.37,1.8494,19.97,1.4
Scenario_3_Stagnation,情景三：算力全面封顶,22,2027-01,7.800e+24,24.66,21.03,1.8494,19.97,1.06
Scenario_3_Stagnation,情景三：算力全面封顶,23,2027-02,7.800e+24,24.3,20.7,1.8494,19.97,0.74
Scenario_3_Stagnation,情景三：算力全面封顶,24,2027-03,7.800e+24,23.96,20.4,1.8494,19.97,0.43
