month,last_date,submissions,monthly_best,cumulative_best,median_compute
2024-06,2024-06-28,44,35.45667093247413,35.45667093247413,4.95579110000005e+22
2024-07,2024-07-31,8,26.200215843375947,35.45667093247413,3.560000005e+22
2024-08,2024-08-24,7,23.926167340782825,35.45667093247413,1.5e+22
2024-09,2024-09-30,15,46.59714569921449,46.59714569921449,1.7334e+23
2024-10,2024-10-24,4,36.90717314950126,46.59714569921449,7.294342e+21
2024-11,2024-11-30,5,34.11985336826446,46.59714569921449,6.000001e+22
2024-12,2024-12-20,9,46.88867299768722,46.88867299768722,5.88e+23
2025-01,2025-01-28,16,40.728304291060965,46.88867299768722,9.3202015e+23
2025-02,2025-02-28,13,39.20729001022834,46.88867299768722,9.3202015e+23
2025-03,2025-03-11,5,35.28187768500508,46.88867299768722,1.58760000000001e+24
