model,date,regime,score,match_level,compute,tokens,params,month
google/gemma-7b,2024-06-08,Pretrained,15.442818570272308,unique_name,3.07e+23,6000000000000.0,8538074112.0,2024-06
mosaicml/mpt-7b,2024-06-08,Pretrained,6.032029339143736,official_bridge,4.2e+22,,7000000000.0,2024-06
EleutherAI/gpt-neox-20b,2024-06-09,Pretrained,6.1165221524743325,official_bridge,9.31627008e+22,341173367965.0,20000000000.0,2024-06
EleutherAI/pythia-160m,2024-06-09,Pretrained,5.730394616916023,unique_name,2.87900000001e+20,299892736000.0,160000000.0,2024-06
EleutherAI/pythia-410m,2024-06-09,Pretrained,5.227072311484412,unique_name,7.37700000001e+20,299892736000.0,410000000.0,2024-06
Qwen/Qwen1.5-7B,2024-06-09,Pretrained,16.024674155407357,unique_name,1.68e+23,,7000000000.0,2024-06
Qwen/Qwen2-1.5B,2024-06-09,Pretrained,10.445452935561454,unique_name,6.3e+22,7000000000000.0,1500000000.0,2024-06
Qwen/Qwen2-7B,2024-06-09,Pretrained,23.9251621404824,unique_name,2.9400000000001e+23,7000000000000.0,7000000000.0,2024-06
bigcode/starcoder2-15b,2024-06-09,Pretrained,12.539175421645837,official_bridge,8.46e+22,203750000000.0,15500000000.0,2024-06
bigcode/starcoder2-3b,2024-06-09,Pretrained,6.549147626379535,official_bridge,8.46e+22,203750000000.0,15500000000.0,2024-06
bigcode/starcoder2-7b,2024-06-09,Pretrained,8.2934383764798,official_bridge,8.46e+22,203750000000.0,15500000000.0,2024-06
microsoft/phi-1_5,2024-06-09,Pretrained,7.170966845799231,official_bridge,3.3234195e+20,,1300000000.0,2024-06
microsoft/phi-2,2024-06-09,Pretrained,15.5342915582149,official_bridge,2.27e+22,250000000000.0,2700000000.0,2024-06
tiiuae/falcon-40b,2024-06-09,Pretrained,11.40130446230009,official_bridge,2.4e+23,1000000000000.0,40000000000.0,2024-06
tiiuae/falcon-40b-instruct,2024-06-09,Chat_Finetuned,10.484506782098748,official_bridge,2.4e+23,1000000000000.0,40000000000.0,2024-06
tiiuae/falcon-7b,2024-06-09,Pretrained,5.17344472031948,official_bridge,6.3e+22,1500000000000.0,7000000000.0,2024-06
tiiuae/falcon-7b-instruct,2024-06-09,Chat_Finetuned,5.1165739086852,official_bridge,6.3e+22,1500000000000.0,7000000000.0,2024-06
01-ai/Yi-1.5-34B,2024-06-12,Pretrained,25.64649419429311,unique_name,7.344e+23,,34000000000.0,2024-06
01-ai/Yi-1.5-9B,2024-06-12,Pretrained,22.153901514184795,unique_name,1.90728e+23,,8830000000.0,2024-06
01-ai/Yi-34B,2024-06-12,Pretrained,22.373127018936653,unique_name,6.1e+23,3100000000000.0,34000000000.0,2024-06
01-ai/Yi-6B,2024-06-12,Pretrained,13.611617485376058,unique_name,1.26e+23,,6000000000.0,2024-06
EleutherAI/gpt-neo-1.3B,2024-06-12,Pretrained,5.391090848825532,official_bridge,7.9e+21,420000000000.0,2700000000.0,2024-06
EleutherAI/gpt-neo-2.7B,2024-06-12,Pretrained,6.431047800987447,official_bridge,7.9e+21,420000000000.0,2700000000.0,2024-06
EleutherAI/pythia-12b,2024-06-12,Pretrained,6.059841492942702,unique_name,2.1590000000001e+22,299892736000.0,12000000000.0,2024-06
EleutherAI/pythia-2.8b,2024-06-12,Pretrained,5.554946281603011,unique_name,5.038000000001e+21,299892736000.0,2800000000.0,2024-06
EleutherAI/pythia-6.9b,2024-06-12,Pretrained,5.966546774741993,unique_name,1.2420000000001e+22,299892736000.0,6900000000.0,2024-06
facebook/opt-30b,2024-06-12,Pretrained,6.276874107966858,unique_name,5.4000000000001e+22,180000000000.0,30000000000.0,2024-06
google/gemma-2b,2024-06-12,Pretrained,7.321959810488082,unique_name,4.5115822e+22,3000000000000.0,2506434560.0,2024-06
openai-community/gpt2,2024-06-12,Pretrained,6.510807087761722,official_bridge,1.1725747e+20,,132000000.0,2024-06
openai-community/gpt2-large,2024-06-12,Pretrained,5.567707192929642,official_bridge,4.9540697e+21,103000000.0,760000000.0,2024-06
togethercomputer/RedPajama-INCITE-7B-Base,2024-06-12,Pretrained,5.56181429403527,official_bridge,4.1e+22,1001000000000.0,6900000000.0,2024-06
Qwen/Qwen1.5-14B,2024-06-13,Pretrained,20.854080062460586,unique_name,3.36e+23,,14000000000.0,2024-06
Qwen/Qwen2-57B-A14B,2024-06-13,Pretrained,25.0338731324107,unique_name,3.7800000000001e+23,,57000000000.0,2024-06
bigscience/bloom-1b1,2024-06-13,Pretrained,4.025155876068456,official_bridge,1.5014556e+22,354000000000.0,7070000000.0,2024-06
bigscience/bloom-1b7,2024-06-13,Pretrained,4.046754480742192,official_bridge,1.5014556e+22,354000000000.0,7070000000.0,2024-06
bigscience/bloom-3b,2024-06-13,Pretrained,4.387894128649155,official_bridge,1.5014556e+22,354000000000.0,7070000000.0,2024-06
bigscience/bloom-560m,2024-06-13,Pretrained,3.50724359916236,official_bridge,1.5014556e+22,354000000000.0,7070000000.0,2024-06
microsoft/phi-1,2024-06-13,Pretrained,5.574318195377169,official_bridge,3.3234195e+20,,1300000000.0,2024-06
AI-Sweden-Models/gpt-sw3-40b,2024-06-26,Pretrained,4.872902485288683,official_bridge,7.68e+22,,40000000000.0,2024-06
Qwen/Qwen2-72B,2024-06-26,Pretrained,35.45667093247413,unique_name,3.02e+24,7000000000000.0,72710000000.0,2024-06
gpt2,2024-06-26,Pretrained,6.39102973137443,official_bridge,1.1725747e+20,,132000000.0,2024-06
gpt2,2024-06-26,Pretrained,5.977736928104574,official_bridge,1.1725747e+20,,132000000.0,2024-06
huggyllama/llama-65b,2024-06-26,Pretrained,13.688031554930518,unique_name,5.5e+23,1400000000000.0,65200000000.0,2024-06
rhysjones/phi-2-orange-v2,2024-06-28,Chat_Finetuned,15.324185096371076,official_bridge,2.27e+22,250000000000.0,2700000000.0,2024-06
huggyllama/llama-13b,2024-07-04,Chat_Finetuned,9.39218439885523,unique_name,7.8e+22,1000000000000.0,13000000000.0,2024-07
huggyllama/llama-7b,2024-07-04,Chat_Finetuned,6.414999925920792,unique_name,4.00000001e+22,1000000000000.0,6700000000.0,2024-07
google/gemma-2-9b,2024-07-11,Pretrained,21.20528677610069,unique_name,4.32e+23,8000000000000.0,9000000000.0,2024-07
HuggingFaceTB/SmolLM-1.7B,2024-07-18,Pretrained,5.576455936269043,unique_name,1.03e+22,,1710000000.0,2024-07
meta-llama/Llama-3.1-70B,2024-07-23,Pretrained,26.200215843375947,unique_name,7.929e+24,15000000000000.0,70000000000.0,2024-07
rasyosef/Phi-1_5-Instruct-v0.1,2024-07-25,Chat_Finetuned,6.864747864349624,official_bridge,3.3234195e+20,,1300000000.0,2024-07
google/gemma-2-2b,2024-07-31,Pretrained,10.129463155055184,unique_name,3.12e+22,2000000000000.0,2600000000.0,2024-07
google/gemma-2-2b,2024-07-31,Pretrained,10.359615568466916,unique_name,3.12e+22,2000000000000.0,2600000000.0,2024-07
EleutherAI/gpt-neo-125m,2024-08-10,Pretrained,4.407321907614049,official_bridge,7.9e+21,420000000000.0,2700000000.0,2024-08
rasyosef/phi-2-instruct-v0.1,2024-08-10,Chat_Finetuned,14.218631101919176,official_bridge,2.27e+22,250000000000.0,2700000000.0,2024-08
stabilityai/stablelm-3b-4e1t,2024-08-10,Pretrained,7.3261912916856,official_bridge,6.21e+22,1000000000000.0,2795443200.0,2024-08
openai-community/gpt2,2024-08-12,Pretrained,6.33423541829189,official_bridge,1.1725747e+20,,132000000.0,2024-08
EleutherAI/gpt-j-6b,2024-08-19,Pretrained,6.570411768928537,official_bridge,1.5e+22,400000000000.0,6053381344.0,2024-08
NYTK/PULI-GPTrio,2024-08-24,Pretrained,5.833727911056492,unique_name,5.8e+21,230590476190.0,6700000000.0,2024-08
google/gemma-2-27b,2024-08-24,Pretrained,23.926167340782825,unique_name,2.106e+24,13000000000000.0,27000000000.0,2024-08
google/mt5-xxl,2024-09-06,Chat_Finetuned,5.10307678308611,official_bridge,8.2e+22,1000000000000.0,13000000000.0,2024-09
google/switch-base-8,2024-09-06,Chat_Finetuned,3.2959502683966075,official_bridge,8.22e+22,86400000000.0,1571000000000.0,2024-09
rasyosef/phi-2-instruct-apo,2024-09-17,Chat_Finetuned,12.547052522669906,official_bridge,2.27e+22,250000000000.0,2700000000.0,2024-09
Qwen/Qwen2.5-1.5B,2024-09-19,Pretrained,13.852701161320264,unique_name,1.6632e+23,,1540000000.0,2024-09
Qwen/Qwen2.5-14B,2024-09-19,Pretrained,31.951062693148973,unique_name,1.58760000000001e+24,,14700000000.0,2024-09
Qwen/Qwen2.5-32B,2024-09-19,Pretrained,38.00796730514634,official_bridge,3.51e+24,18000000000000.0,32500000000.0,2024-09
Qwen/Qwen2.5-32B-Instruct,2024-09-19,Chat_Finetuned,46.59714569921449,official_bridge,3.51e+24,18000000000000.0,32500000000.0,2024-09
Qwen/Qwen2.5-72B,2024-09-19,Pretrained,38.441143572535815,unique_name,7.8e+24,18000000000000.0,72700000000.0,2024-09
Qwen/Qwen2.5-7B,2024-09-19,Pretrained,26.019159924095096,unique_name,8.2188e+23,,7610000000.0,2024-09
Qwen/Qwen2.5-Coder-7B,2024-09-21,Pretrained,19.20949053896225,unique_name,2.5113e+23,,7610000000.0,2024-09
meta-llama/Llama-3.2-1B,2024-09-23,Pretrained,4.195140014045501,unique_name,6.642e+22,9000000000000.0,1230000000.0,2024-09
Qwen/Qwen2.5-3B,2024-09-27,Pretrained,18.102770217683677,unique_name,3.3372e+23,,3090000000.0,2024-09
meta-llama/Llama-3.2-3B,2024-09-27,Pretrained,8.697822716562822,unique_name,1.7334e+23,9000000000000.0,3210000000.0,2024-09
